n,mean,sd,ci_lo,ci_hi
10000,0.007646,0.001691,0.007041,0.008251
30000,0.022219,0.002368,0.021372,0.023066
100000,0.122138,0.025240,0.113106,0.131170
300000,0.753170,0.118530,0.710755,0.795586
1000000,3.383963,0.273759,3.286000,3.481927
3000000,14.884837,1.780110,14.247833,15.521841
10000000,76.286799,9.397841,72.923824,79.649773
