variant,n,time_sec,certs
V0_base,10000,0.0167,100000
V0_base,100000,0.2315,1000000
V0_base,1000000,3.9945,10000000
V3_full,10000,0.0111,11479
V3_full,100000,0.1674,112389
V3_full,1000000,2.7888,1134184
