n,kh_mean,base_mean,t_stat,df,p_value,cohen_d,effect_size,significant
10000,0.007637,0.007646,-0.0263,41.7,0.979030,0.0068,negligible,ns
30000,0.026028,0.022219,7.0154,54.1,0.000000,1.8114,large,***
100000,0.128186,0.122138,1.1167,48.3,0.264132,0.2883,small,ns
300000,0.679926,0.753170,-1.6657,45.8,0.095778,0.4301,small,ns
1000000,2.860947,3.383963,-6.3257,54.1,0.000000,1.6333,large,***
3000000,10.200305,14.884837,-12.8002,43.5,0.000000,3.3050,large,***
10000000,54.572964,76.286799,-9.5041,57.1,0.000000,2.4539,large,***
