n,kh_mean,base_mean,t_stat,df,p_value,cohen_d,effect_size,significant
10000,0.007637,0.002206,33.4478,40.3,0.000000,8.6362,large,***
30000,0.026028,0.009173,46.5175,41.0,0.000000,12.0108,large,***
100000,0.128186,0.057476,23.4717,35.9,0.000000,6.0604,large,***
300000,0.679926,0.443982,5.8646,35.0,0.000000,1.5142,large,***
1000000,2.860947,2.010085,12.2882,35.0,0.000000,3.1728,large,***
3000000,10.200305,8.343212,7.4887,57.6,0.000000,1.9336,large,***
10000000,54.572964,51.210493,1.6390,57.6,0.101220,0.4232,small,ns
